"","team","No.","Pos.","Player","Date of birth (age)","Caps","Club"
"81","Zimbabwe",12,"2DF","Jimmy Dzingai","(1990-11-21)21 November 1990 (aged 28)",5,"Power Dynamos"
"82","Zimbabwe",13,"1GK","Elvis Chipezeze","(1990-03-11)11 March 1990 (aged 29)",2,"Baroka"
"83","Zimbabwe",14,"4FW","Tino Kadewere","(1996-01-05)5 January 1996 (aged 23)",13,"Le Havre"
"84","Zimbabwe",15,"2DF","Teenage Hadebe","(1995-09-17)17 September 1995 (aged 23)",19,"Kaizer Chiefs"
"85","Zimbabwe",16,"1GK","George Chigova","(1991-03-04)4 March 1991 (aged 28)",31,"Polokwane City"
"86","Zimbabwe",17,"4FW","Knowledge Musona (captain)","(1990-06-21)21 June 1990 (aged 29)",36,"Sporting Lokeren"
"87","Zimbabwe",18,"3MF","Marvelous Nakamba","(1994-01-19)19 January 1994 (aged 25)",16,"Club Brugge"
"88","Zimbabwe",19,"4FW","Knox Mutizwa","(1993-10-12)12 October 1993 (aged 25)",15,"Lamontville Golden Arrows"
"89","Zimbabwe",20,"3MF","Kudakwashe Mahachi","(1993-09-29)29 September 1993 (aged 25)",25,"Orlando Pirates"
"90","Zimbabwe",21,"3MF","Thabani Kamusoko","(1988-03-02)2 March 1988 (aged 31)",9,"Young Africans"
"91","Zimbabwe",22,"2DF","Lawrence Mhlanga","(1993-12-20)20 December 1993 (aged 25)",10,"FC Platinum"
"92","Zimbabwe",23,"4FW","Nyasha Mushekwi","(1987-08-21)21 August 1987 (aged 31)",18,"Dalian Yifang"
"93","Nigeria",1,"1GK","Ikechukwu Ezenwa","(1988-10-16)16 October 1988 (aged 30)",19,"Katsina United"
"94","Nigeria",2,"2DF","Ola Aina","(1996-10-08)8 October 1996 (aged 22)",8,"Torino"
"95","Nigeria",3,"2DF","Jamilu Collins","(1994-08-05)5 August 1994 (aged 24)",7,"SC Paderborn 07"
"96","Nigeria",4,"3MF","Wilfred Ndidi","(1996-12-16)16 December 1996 (aged 22)",24,"Leicester City"
"97","Nigeria",5,"2DF","William Troost-Ekong","(1993-09-01)1 September 1993 (aged 25)",31,"Udinese"
"98","Nigeria",6,"2DF","Leon Balogun","(1988-06-28)28 June 1988 (aged 30)",28,"Brighton & Hove Albion"
"99","Nigeria",7,"4FW","Ahmed Musa","(1992-10-14)14 October 1992 (aged 26)",80,"Al Nassr"
"100","Nigeria",8,"3MF","Peter Etebo","(1995-11-09)9 November 1995 (aged 23)",24,"Stoke City"
"101","Nigeria",9,"4FW","Odion Ighalo","(1989-06-16)16 June 1989 (aged 30)",27,"Shanghai Shenhua"
"102","Nigeria",10,"3MF","John Obi Mikel (captain)","(1987-04-22)22 April 1987 (aged 32)",86,"Middlesbrough"
"103","Nigeria",11,"4FW","Henry Onyekuru","(1997-06-05)5 June 1997 (aged 22)",9,"Galatasaray"
"104","Nigeria",12,"2DF","Shehu Abdullahi","(1993-03-12)12 March 1993 (aged 26)",30,"Bursaspor"
"105","Nigeria",13,"4FW","Samuel Chukwueze","(1999-05-22)22 May 1999 (aged 20)",2,"Villarreal"
"106","Nigeria",14,"4FW","Paul Onuachu","(1994-05-28)28 May 1994 (aged 25)",3,"Midtjylland"
"107","Nigeria",15,"4FW","Moses Simon","(1995-07-12)12 July 1995 (aged 23)",23,"Levante"
"108","Nigeria",16,"1GK","Daniel Akpeyi","(1986-03-08)8 March 1986 (aged 33)",10,"Kaizer Chiefs"
"109","Nigeria",17,"4FW","Samuel Kalu","(1997-08-26)26 August 1997 (aged 21)",6,"Bordeaux"
"110","Nigeria",18,"4FW","Alex Iwobi","(1996-05-03)3 May 1996 (aged 23)",28,"Arsenal"
"111","Nigeria",19,"3MF","John Ogu","(1988-04-20)20 April 1988 (aged 31)",24,"Hapoel Be'er Sheva"
"112","Nigeria",20,"2DF","Chidozie Awaziem","(1997-01-01)1 January 1997 (aged 22)",5,"Çaykur Rizespor"
"113","Nigeria",21,"4FW","Victor Osimhen","(1998-12-29)29 December 1998 (aged 20)",3,"Sporting Charleroi"
"114","Nigeria",22,"2DF","Kenneth Omeruo","(1993-10-17)17 October 1993 (aged 25)",44,"Leganés"
"115","Nigeria",23,"1GK","Francis Uzoho","(1998-10-28)28 October 1998 (aged 20)",13,"Anorthosis Famagusta"
"116","Guinea",1,"1GK","Naby Yattara","(1984-01-12)12 January 1984 (aged 35)",60,"Excelsior"
"117","Guinea",2,"4FW","Mohamed Yattara","(1993-07-28)28 July 1993 (aged 25)",29,"Auxerre"
"118","Guinea",3,"2DF","Issiaga Sylla","(1994-01-01)1 January 1994 (aged 25)",43,"Toulouse"
"119","Guinea",4,"3MF","Amadou Diawara","(1997-07-17)17 July 1997 (aged 21)",4,"Napoli"
"120","Guinea",5,"2DF","Ernest Seka","(1987-06-22)22 June 1987 (aged 31)",5,"Nancy"
"121","Guinea",6,"2DF","Simon Falette","(1992-02-19)19 February 1992 (aged 27)",1,"Eintracht Frankfurt"
"122","Guinea",7,"3MF","Mady Camara","(1997-02-28)28 February 1997 (aged 22)",5,"Olympiacos"
"123","Guinea",8,"3MF","Naby Keïta","(1995-02-10)10 February 1995 (aged 24)",32,"Liverpool"
"124","Guinea",9,"4FW","José Kanté","(1990-09-27)27 September 1990 (aged 28)",6,"Gimnàstic"
"125","Guinea",10,"4FW","François Kamano","(1996-05-02)2 May 1996 (aged 23)",26,"Bordeaux"
"126","Guinea",11,"4FW","Idrissa Sylla","(1990-12-03)3 December 1990 (aged 28)",26,"Zulte Waregem"
"127","Guinea",12,"1GK","Ibrahim Koné","(1989-12-05)5 December 1989 (aged 29)",1,"Pau"
"128","Guinea",13,"3MF","Ibrahima Cissé","(1994-02-28)28 February 1994 (aged 25)",2,"Fulham"
"129","Guinea",14,"2DF","Ousmane Sidibé","(1985-04-23)23 April 1985 (aged 34)",6,"Béziers"
"130","Guinea",15,"2DF","Julian Jeanvier","(1992-03-31)31 March 1992 (aged 27)",0,"Brentford"
"131","Guinea",16,"4FW","Ibrahima Traoré","(1988-04-21)21 April 1988 (aged 31)",44,"Borussia Mönchengladbach"
"132","Guinea",17,"3MF","Boubacar Fofana","(1989-11-06)6 November 1989 (aged 29)",19,"Gaz Metan Media<U+0219>"
"133","Guinea",18,"2DF","Mikael Dyrestam","(1991-10-20)20 October 1991 (aged 27)",0,"Xanthi"
"134","Guinea",19,"4FW","Bengali-Fodé Koita","(1990-10-21)21 October 1990 (aged 28)",0,"Kasimpasa"
"135","Guinea",20,"4FW","Lass Bangoura","(1992-03-30)30 March 1992 (aged 27)",33,"Vancouver Whitecaps"
"136","Guinea",21,"4FW","Sory Kaba","(1995-04-10)10 April 1995 (aged 24)",5,"Dijon"
"137","Guinea",22,"1GK","Aly Keita","(1986-12-08)8 December 1986 (aged 32)",4,"Östersunds FK"
"138","Guinea",23,"2DF","Fodé Camara","(1998-04-17)17 April 1998 (aged 21)",1,"Gazélec Ajaccio"
"139","Madagascar",1,"1GK","Ibrahima Dabo","(1992-07-22)22 July 1992 (aged 26)",8,"JS Saint-Pierroise"
"140","Madagascar",2,"4FW","Carolus Andriamatsinoro","(1989-07-06)July 6, 1989 (aged 29)",25,"Al-Adalah"
"141","Madagascar",3,"3MF","Romario Baggio","(1994-01-24)January 24, 1994 (aged 25)",8,"Fosa Juniors FC"
"142","Madagascar",4,"2DF","Gervais Randrianarisoa","(1984-11-07)November 7, 1984 (aged 34)",36,"JS Saint-Pierroise"
"143","Madagascar",5,"2DF","Pascal Razakanantenaina","(1987-04-19)19 April 1987 (aged 32)",17,"JS Saint-Pierroise"
"144","Madagascar",6,"3MF","Marco Ilaimaharitra","(1995-07-26)July 26, 1995 (aged 23)",6,"Charleroi"
"145","Madagascar",7,"3MF","Dimitry Caloin","(1990-05-08)8 May 1990 (aged 29)",3,"Les Herbiers"
"146","Madagascar",8,"3MF","Arohasina Andrianarimanana","(1991-08-16)August 16, 1991 (aged 27)",11,"Kaizer Chiefs"
"147","Madagascar",9,"4FW","Faneva Imà Andriatsima","(1984-06-03)June 3, 1984 (aged 35)",36,"Clermont"
"148","Madagascar",10,"4FW","Njiva Rakotoharimalala","(1992-08-06)6 August 1992 (aged 26)",23,"Samut Sakhon"
"149","Madagascar",11,"4FW","Paulin Voavy","(1987-11-10)10 November 1987 (aged 31)",38,"Misr Lel Makkasa"
"150","Madagascar",12,"4FW","Lalaïna Nomenjanahary","(1986-06-01)June 1, 1986 (aged 33)",33,"Paris FC"
"151","Madagascar",13,"3MF","Anicet Abel","(1990-03-13)13 March 1990 (aged 29)",7,"Ludogorets Razgrad"
"152","Madagascar",14,"2DF","Jérémy Morel","(1984-04-02)April 2, 1984 (aged 35)",2,"Lyon"
"153","Madagascar",15,"3MF","Ibrahim Amada","(1990-02-28)28 February 1990 (aged 29)",12,"MC Alger"
"154","Madagascar",16,"1GK","Jean Dieu-Donné Randrianasolo","(1989-05-26)26 May 1989 (aged 30)",10,"CNaPS Sport"
"155","Madagascar",17,"2DF","Toavina Rambeloson","(1992-11-26)26 November 1992 (aged 26)",3,"Arras Football"
"156","Madagascar",18,"3MF","Rayan Raveloson","(1997-01-16)January 16, 1997 (aged 22)",1,"Troyes"
"157","Madagascar",19,"4FW","William Gros","(1992-03-31)31 March 1992 (aged 27)",3,"Vitré"
"158","Madagascar",20,"2DF","Romain Métanire","(1990-03-28)March 28, 1990 (aged 29)",4,"Minnesota United"
"159","Madagascar",21,"2DF","Thomas Fontaine","(1991-05-08)8 May 1991 (aged 28)",8,"Reims"
"160","Madagascar",22,"2DF","Jérôme Mombris","(1987-11-27)November 27, 1987 (aged 31)",7,"Grenoble"
"161","Madagascar",23,"1GK","Melvin Adrien","(1993-08-30)30 August 1993 (aged 25)",2,"FC Martigues"
"162","Burundi",1,"1GK","Jonathan Nahimana","(1999-12-12)12 December 1999 (aged 19)",16,"TP Bata"
"163","Burundi",2,"3MF","Enock Sabumukama","(1994-09-04)4 September 1994 (aged 24)",3,"ZESCO United"
"164","Burundi",3,"4FW","Elvis Kamsoba","(1996-06-27)27 June 1996 (aged 22)",0,"Melbourne Victory"
"165","Burundi",4,"3MF","Pierre Kwizera","(1991-04-16)16 April 1991 (aged 28)",41,"Al-Orouba"
"166","Burundi",5,"3MF","Gaël Bigirimana","(1993-10-22)22 October 1993 (aged 25)",6,"Hibernian"
"167","Burundi",6,"2DF","Karim Nizigiyimana","(1989-06-21)21 June 1989 (aged 30)",52,"Vipers"
"168","Burundi",7,"4FW","Fiston Abdul Razak","(1993-03-01)1 March 1993 (aged 26)",38,"JS Kabylie"
"169","Burundi",8,"3MF","Gaël Duhayindavyi","(1990-04-15)15 April 1990 (aged 29)",41,"Mukura"
"170","Burundi",9,"4FW","Laudit Mavugo","(1989-10-10)10 October 1989 (aged 29)",19,"NAPSA Stars"
"171","Burundi",10,"3MF","Shasiri Nahimana","(1993-08-05)5 August 1993 (aged 25)",30,"Al-Mujazzal"
"172","Burundi",11,"4FW","Selemani Ndikumana","(1987-03-18)18 March 1987 (aged 32)",33,"Al-Adalah"
"173","Burundi",12,"3MF","Hussein Shabani","(1990-09-26)26 September 1990 (aged 28)",18,"Ethiopian Coffee"
"174","Burundi",13,"1GK","Justin Ndikumana","(1993-03-01)1 March 1993 (aged 26)",0,"Sofapaka"
"175","Burundi",14,"2DF","Omar Ngandu","(1996-10-03)3 October 1996 (aged 22)",6,"Kigali"
"176","Burundi",15,"2DF","Omar Moussa","(1997-08-30)30 August 1997 (aged 21)",14,"Sofapaka"
"177","Burundi",16,"2DF","David Nshimirimana","(1993-01-02)2 January 1993 (aged 26)",26,"Mukura"
"178","Burundi",17,"4FW","Cédric Amissi","(1990-03-20)20 March 1990 (aged 29)",39,"Al-Taawoun"
"179","Burundi",18,"4FW","Saido Berahino","(1993-08-04)4 August 1993 (aged 25)",5,"Stoke City"
"180","Burundi",19,"2DF","Frédéric Nsabiyumva","(1995-04-26)26 April 1995 (aged 24)",25,"Chippa United"
"181","Burundi",20,"4FW","Francis Mustafa","(1996-05-03)3 May 1996 (aged 23)",0,"Gor Mahia"
"182","Burundi",21,"4FW","Mohamed Amissi","(2000-08-03)3 August 2000 (aged 18)",0,"NAC Breda"
"183","Burundi",22,"2DF","Christophe Nduwarugira","(1994-06-22)22 June 1994 (aged 24)",26,"Amora"
"184","Burundi",23,"1GK","MacArthur Arakaza","(1995-07-27)27 July 1995 (aged 23)",28,"Sofapaka"
"185","Senegal",1,"1GK","Abdoulaye Diallo","(1992-03-30)30 March 1992 (aged 27)",17,"Stade Rennais"
"186","Senegal",2,"2DF","Saliou Ciss","(1989-06-15)15 June 1989 (aged 30)",17,"Valenciennes"
"187","Senegal",3,"2DF","Kalidou Koulibaly","(1991-06-20)20 June 1991 (aged 28)",31,"Napoli"
"188","Senegal",4,"2DF","Pape Abou Cissé","(1995-09-14)14 September 1995 (aged 23)",3,"Olympiacos"
"189","Senegal",5,"3MF","Idrissa Gueye","(1989-09-26)26 September 1989 (aged 29)",57,"Everton"
"190","Senegal",6,"2DF","Salif Sané","(1990-08-25)25 August 1990 (aged 28)",24,"Schalke 04"
"191","Senegal",7,"4FW","Moussa Konaté","(1993-04-03)3 April 1993 (aged 26)",29,"Amiens"
"192","Senegal",8,"3MF","Cheikhou Kouyaté","(1989-12-21)21 December 1989 (aged 29)",47,"Crystal Palace"
"193","Senegal",9,"4FW","M'Baye Niang","(1994-12-19)19 December 1994 (aged 24)",14,"Stade Rennais"
"194","Senegal",10,"4FW","Sadio Mané (captain)","(1992-04-10)10 April 1992 (aged 27)",56,"Liverpool"
"195","Senegal",11,"4FW","Keita Baldé","(1995-03-08)8 March 1995 (aged 24)",24,"Internazionale"
"196","Senegal",12,"2DF","Youssouf Sabaly","(1993-03-05)5 March 1993 (aged 26)",11,"Bordeaux"
"197","Senegal",13,"3MF","Alfred N'Diaye","(1990-03-06)6 March 1990 (aged 29)",25,"Málaga"
"198","Senegal",14,"3MF","Henri Saivet","(1990-10-26)26 October 1990 (aged 28)",20,"Bursaspor"
"199","Senegal",15,"3MF","Krépin Diatta","(1999-02-25)25 February 1999 (aged 20)",2,"Club Brugge"
"200","Senegal",16,"1GK","Edouard Mendy","(1992-03-01)1 March 1992 (aged 27)",2,"Stade Reims"
"201","Senegal",17,"3MF","Badou Ndiaye","(1990-10-27)27 October 1990 (aged 28)",19,"Galatasaray"
"202","Senegal",18,"4FW","Ismaïla Sarr","(1998-02-25)25 February 1998 (aged 21)",20,"Stade Rennais"
"203","Senegal",19,"4FW","Mbaye Diagne","(1991-10-28)28 October 1991 (aged 27)",4,"Galatasaray"
"204","Senegal",20,"4FW","Sada Thioub","(1995-06-01)1 June 1995 (aged 24)",2,"Nîmes"
"205","Senegal",21,"2DF","Lamine Gassama","(1989-10-20)20 October 1989 (aged 29)",35,"Göztepe"
"206","Senegal",22,"2DF","Moussa Wagué","(1998-10-04)4 October 1998 (aged 20)",13,"Barcelona"
"207","Senegal",23,"1GK","Alfred Gomis","(1993-09-05)5 September 1993 (aged 25)",5,"SPAL"
"208","Algeria",1,"1GK","Azzedine Doukha","(1986-08-05)5 August 1986 (aged 32)",13,"Al-Raed"
"209","Algeria",2,"2DF","Aïssa Mandi","(1991-10-22)22 October 1991 (aged 27)",43,"Real Betis"
"210","Algeria",3,"2DF","Mehdi Tahrat","(1990-01-24)24 January 1990 (aged 29)",6,"Lens"
"211","Algeria",4,"2DF","Djamel Benlamri","(1989-12-25)25 December 1989 (aged 29)",2,"Al-Shabab"
"212","Algeria",5,"2DF","Rafik Halliche","(1986-09-02)2 September 1986 (aged 32)",38,"Moreirense"
"213","Algeria",6,"2DF","Mohamed Fares","(1996-02-15)15 February 1996 (aged 23)",5,"SPAL"
"214","Algeria",7,"3MF","Riyad Mahrez (captain)","(1991-02-21)21 February 1991 (aged 28)",44,"Manchester City"
"215","Algeria",8,"4FW","Youcef Belaïli","(1992-03-14)14 March 1992 (aged 27)",5,"ES Tunis"
"216","Algeria",9,"4FW","Baghdad Bounedjah","(1991-11-30) 30 November 1991 (age 27)",20,"Al-Sadd"
"217","Algeria",10,"3MF","Sofiane Feghouli","(1989-12-26)26 December 1989 (aged 29)",50,"Galatasaray"
"218","Algeria",11,"3MF","Yacine Brahimi","(1990-02-08)8 February 1990 (aged 29)",45,"Porto"
"219","Algeria",12,"3MF","Adam Ounas","(1996-11-11)11 November 1996 (aged 22)",5,"Napoli"
"220","Algeria",13,"4FW","Islam Slimani","(1988-06-18)18 June 1988 (aged 31)",60,"Fenerbahçe"
"221","Algeria",14,"3MF","Hicham Boudaoui","(1999-09-23)23 September 1999 (aged 19)",2,"Paradou AC"
"222","Algeria",15,"4FW","Andy Delort","(1991-10-09)9 October 1991 (aged 27)",0,"Montpellier"
"223","Algeria",16,"1GK","Alexandre Oukidja","(1988-07-19)19 July 1988 (aged 30)",1,"Metz"
"224","Algeria",17,"3MF","Adlène Guedioura","(1985-11-12)12 November 1985 (aged 33)",41,"Nottingham Forest"
"225","Algeria",18,"2DF","Mehdi Zeffane","(1992-05-19)19 May 1992 (aged 27)",11,"Rennes"
"226","Algeria",19,"3MF","Mehdi Abeid","(1992-08-06)6 August 1992 (aged 26)",7,"Dijon"
"227","Algeria",20,"2DF","Youcef Atal","(1996-05-17)17 May 1996 (aged 23)",7,"Nice"
"228","Algeria",21,"2DF","Ramy Bensebaini","(1995-04-16)16 April 1995 (aged 24)",17,"Rennes"
"229","Algeria",22,"3MF","Ismaël Bennacer","(1997-12-01)1 December 1997 (aged 21)",8,"Empoli"
"230","Algeria",23,"1GK","Raïs M'Bolhi","(1986-04-25)25 April 1986 (aged 33)",59,"Al-Ettifaq"
"231","Kenya",1,"1GK","Farouk Shikalo","(1996-12-10)10 December 1996 (aged 22)",0,"Bandari"
"232","Kenya",2,"2DF","Joseph Okumu","(1997-05-26)26 May 1997 (aged 22)",1,"Real Monarchs"
"233","Kenya",3,"2DF","Aboud Omar","(1992-09-09)9 September 1992 (aged 26)",33,"Sepsi Sfântu Gheorghe"
"234","Kenya",4,"2DF","Joash Onyango","(1993-01-31)31 January 1993 (aged 26)",5,"Gor Mahia"
"235","Kenya",5,"2DF","Musa Mohammed","(1991-06-06)6 June 1991 (aged 28)",35,"Nkana"
